Brand,Price,log_price,Mileage,log_mileage,EngineV,Year
Mercedes-Benz," ₹ 47,600.00 ",4.68,1,0,2.2,2016
Mercedes-Benz," ₹ 47,600.00 ",4.68,1,0,2.2,2016
Mercedes-Benz," ₹ 47,600.00 ",4.68,1,0,2.2,2016
Mercedes-Benz," ₹ 58,999.00 ",4.77,1,0,2.2,2016
Mercedes-Benz," ₹ 62,999.00 ",4.80,1,0,2.2,2016
Mercedes-Benz," ₹ 69,999.00 ",4.85,1,0,2.2,2016
Mercedes-Benz," ₹ 70,999.00 ",4.85,1,0,2.2,2016
Mercedes-Benz," ₹ 71,999.00 ",4.86,1,0,2.2,2016
Mercedes-Benz," ₹ 71,999.00 ",4.86,1,0,2.2,2016
Mercedes-Benz," ₹ 87,777.00 ",4.94,1,0,2.2,2016
Mercedes-Benz," ₹ 1,02,800.00 ",5.01,1,0,2.2,2016
Mercedes-Benz," ₹ 1,07,000.00 ",5.03,1,0,2.2,2016
Mercedes-Benz," ₹ 1,09,999.00 ",5.04,1,0,2.2,2016
Mitsubishi," ₹ 25,000.00 ",4.40,1,0,2,2016
Mitsubishi," ₹ 28,500.00 ",4.45,1,0,2,2016
Volkswagen," ₹ 34,899.14 ",4.54,1,0,2,2016
Toyota," ₹ 35,138.29 ",4.55,1,0,2,2016
BMW," ₹ 37,976.25 ",4.58,1,0,2,2016
Volkswagen," ₹ 38,365.00 ",4.58,1,0,2,2016
Volkswagen," ₹ 39,615.00 ",4.60,1,0,2,2016
BMW," ₹ 40,755.00 ",4.61,1,0,2,2016
BMW," ₹ 43,163.25 ",4.64,1,0,2,2016
BMW," ₹ 43,719.00 ",4.64,1,0,2,2016
BMW," ₹ 47,500.00 ",4.68,1,0,2,2016
BMW," ₹ 48,535.50 ",4.69,1,0,2,2016
Audi," ₹ 52,055.25 ",4.72,1,0,2,2016
Audi," ₹ 63,200.00 ",4.80,1,0,2,2016
BMW," ₹ 65,099.00 ",4.81,1,0,2,2016
BMW," ₹ 65,393.25 ",4.82,1,0,2,2016
BMW," ₹ 66,500.00 ",4.82,1,0,2,2016
BMW," ₹ 66,666.00 ",4.82,1,0,2,2016
BMW," ₹ 67,431.00 ",4.83,1,0,2,2016
Toyota," ₹ 24,842.03 ",4.40,1,0,1.8,2016
Volkswagen," ₹ 12,114.35 ",4.08,1,0,1.6,2016
Volkswagen," ₹ 13,300.95 ",4.12,1,0,1.6,2016
Volkswagen," ₹ 13,893.75 ",4.14,1,0,1.6,2016
Volkswagen," ₹ 13,972.07 ",4.15,1,0,1.6,2016
Volkswagen," ₹ 16,999.00 ",4.23,1,0,1.6,2016
Volkswagen," ₹ 17,191.20 ",4.24,1,0,1.6,2016
Toyota," ₹ 20,711.25 ",4.32,1,0,1.6,2016
Volkswagen," ₹ 23,999.00 ",4.38,1,0,1.6,2016
Volkswagen," ₹ 23,999.00 ",4.38,1,0,1.6,2016
Volkswagen," ₹ 28,660.00 ",4.46,1,0,1.6,2016
Volkswagen," ₹ 28,793.04 ",4.46,1,0,1.6,2016
Mercedes-Benz," ₹ 47,000.00 ",4.67,1,0,1.6,2016
Mercedes-Benz," ₹ 57,000.00 ",4.76,1,0,1.6,2016
Mercedes-Benz," ₹ 65,000.00 ",4.81,1,0,1.6,2016
Renault," ₹ 13,300.95 ",4.12,1,0,1.5,2016
Renault," ₹ 13,321.33 ",4.12,1,0,1.5,2016
Renault," ₹ 15,635.10 ",4.19,1,0,1.5,2016
Renault," ₹ 15,672.15 ",4.20,1,0,1.5,2016
Renault," ₹ 15,820.35 ",4.20,1,0,1.5,2016
Renault," ₹ 18,932.55 ",4.28,1,0,1.5,2016
Renault," ₹ 18,988.13 ",4.28,1,0,1.5,2016
Renault," ₹ 19,692.08 ",4.29,1,0,1.5,2016
Renault," ₹ 20,996.24 ",4.32,1,0,1.5,2016
Audi," ₹ 34,419.45 ",4.54,1,0,1.4,2016
Toyota," ₹ 17,394.09 ",4.24,1,0,1.33,2016
Renault," ₹ 11,403.99 ",4.06,1,0,1.2,2016
Renault," ₹ 17,639.47 ",4.25,1,0,1.2,2016
Toyota," ₹ 73,900.00 ",4.87,1,0,4.5,2016
Toyota," ₹ 74,999.00 ",4.88,1,0,4.5,2016
Toyota," ₹ 85,000.00 ",4.93,1,0,4.5,2016
Toyota," ₹ 68,500.00 ",4.84,1,0,3.5,2016
BMW," ₹ 77,500.00 ",4.89,1,0,3,2016
BMW," ₹ 77,500.00 ",4.89,1,0,3,2016
Mercedes-Benz," ₹ 81,500.00 ",4.91,1,0,3,2016
Mercedes-Benz," ₹ 1,04,999.00 ",5.02,1,0,3,2016
Mercedes-Benz," ₹ 1,05,000.00 ",5.02,1,0,3,2016
Mercedes-Benz," ₹ 1,09,999.00 ",5.04,1,0,3,2016
Mercedes-Benz," ₹ 1,29,999.00 ",5.11,1,0,2.99,2016
Toyota," ₹ 39,500.00 ",4.60,1,0,2.8,2016
Toyota," ₹ 43,999.00 ",4.64,1,0,2.8,2016
Toyota," ₹ 24,171.42 ",4.38,1,0,2.5,2016
Mitsubishi," ₹ 25,342.20 ",4.40,1,0,2.5,2016
Mitsubishi," ₹ 27,565.20 ",4.44,1,0,2.5,2016
BMW," ₹ 67,500.00 ",4.83,1,0,2.5,2016
Mercedes-Benz," ₹ 74,999.00 ",4.88,1,0,2.2,2016
Toyota," ₹ 20,859.15 ",4.32,1,0,2,2016
Mitsubishi," ₹ 22,711.65 ",4.36,1,0,2,2016
Volkswagen," ₹ 28,900.00 ",4.46,1,0,2,2016
Audi," ₹ 43,000.00 ",4.63,1,0,2,2016
BMW," ₹ 56,500.00 ",4.75,1,0,2,2016
BMW," ₹ 60,500.00 ",4.78,1,0,2,2016
BMW," ₹ 62,000.00 ",4.79,1,0,2,2016
BMW," ₹ 62,900.00 ",4.80,1,0,2,2016
BMW," ₹ 63,500.00 ",4.80,1,0,2,2016
BMW," ₹ 64,500.00 ",4.81,1,0,2,2016
BMW," ₹ 65,500.00 ",4.82,1,0,2,2016
BMW," ₹ 66,500.00 ",4.82,1,0,2,2016
BMW," ₹ 67,500.00 ",4.83,1,0,2,2016
BMW," ₹ 67,500.00 ",4.83,1,0,2,2016
BMW," ₹ 69,999.00 ",4.85,1,0,2,2016
Volkswagen," ₹ 14,500.00 ",4.16,1,0,1.6,2016
Toyota," ₹ 16,672.50 ",4.22,1,0,1.6,2016
Volkswagen," ₹ 23,999.00 ",4.38,1,0,1.6,2016
Volkswagen," ₹ 24,300.00 ",4.39,1,0,1.6,2016
Volkswagen," ₹ 24,900.00 ",4.40,1,0,1.6,2016
Volkswagen," ₹ 24,900.00 ",4.40,1,0,1.6,2016
Renault," ₹ 18,456.16 ",4.27,1,0,1.5,2016
Audi," ₹ 29,602.95 ",4.47,1,0,1.4,2016
Audi," ₹ 44,000.00 ",4.64,1,0,1.4,2016
Renault," ₹ 9,658.94 ",3.98,1,0,1.2,2016
Toyota," ₹ 11,707.80 ",4.07,1,0,1,2016
Mercedes-Benz," ₹ 1,95,000.00 ",5.29,2,0.301029996,5.5,2016
BMW," ₹ 1,29,222.00 ",5.11,2,0.301029996,5,2016
Toyota," ₹ 97,500.00 ",4.99,2,0.301029996,4.6,2016
BMW," ₹ 1,37,000.00 ",5.14,2,0.301029996,4.4,2016
Volkswagen," ₹ 61,000.00 ",4.79,2,0.301029996,3,2016
BMW," ₹ 1,04,999.00 ",5.02,2,0.301029996,3,2016
BMW," ₹ 1,04,999.00 ",5.02,2,0.301029996,3,2016
BMW," ₹ 42,900.00 ",4.63,2,0.301029996,2,2016
BMW," ₹ 42,900.00 ",4.63,2,0.301029996,2,2016
Volkswagen," ₹ 21,500.00 ",4.33,2,0.301029996,1.6,2016
Volkswagen," ₹ 24,800.00 ",4.39,2,0.301029996,1.6,2016
Audi," ₹ 30,999.00 ",4.49,2,0.301029996,1.4,2016
Mercedes-Benz," ₹ 2,49,999.00 ",5.40,3,0.477121255,5.5,2016
Toyota," ₹ 88,000.00 ",4.94,3,0.477121255,4.5,2016
Mercedes-Benz," ₹ 86,000.00 ",4.93,3,0.477121255,3,2016
Mercedes-Benz," ₹ 85,000.00 ",4.93,3,0.477121255,2.2,2016
BMW," ₹ 52,222.00 ",4.72,3,0.477121255,2,2016
Volkswagen," ₹ 24,000.00 ",4.38,3,0.477121255,1.6,2016
Toyota," ₹ 46,500.00 ",4.67,4,0.602059991,3,2016
BMW," ₹ 1,15,800.00 ",5.06,4,0.602059991,3,2016
Volkswagen," ₹ 19,100.00 ",4.28,4,0.602059991,1.6,2016
BMW," ₹ 39,900.00 ",4.60,5,0.698970004,2,2016
BMW," ₹ 42,000.00 ",4.62,5,0.698970004,2,2016
BMW," ₹ 46,000.00 ",4.66,5,0.698970004,2,2016
Mercedes-Benz," ₹ 2,50,000.00 ",5.40,6,0.77815125,5.5,2016
BMW," ₹ 39,333.00 ",4.59,6,0.77815125,2,2016
BMW," ₹ 47,300.00 ",4.67,10,1,2,2016
Volkswagen," ₹ 29,600.00 ",4.47,11,1.041392685,1.4,2016
Volkswagen," ₹ 33,700.00 ",4.53,11,1.041392685,1.4,2016
Toyota," ₹ 10,500.00 ",4.02,17,1.230448921,1,2016
Renault," ₹ 17,500.00 ",4.24,20,1.301029996,1.5,2016
BMW," ₹ 45,000.00 ",4.65,29,1.462397998,2,2016
BMW," ₹ 59,900.00 ",4.78,30,1.477121255,2,2016
Volkswagen," ₹ 55,500.00 ",4.74,47,1.672097858,3,2016
Toyota," ₹ 1,64,500.00 ",5.22,1,0,4.5,2015
Volkswagen," ₹ 74,500.00 ",4.87,1,0,3,2015
Audi," ₹ 75,000.00 ",4.88,1,0,3,2015
Audi," ₹ 88,888.00 ",4.95,1,0,3,2015
Audi," ₹ 89,999.00 ",4.95,1,0,3,2015
Mercedes-Benz," ₹ 50,250.00 ",4.70,1,0,2.2,2015
Volkswagen," ₹ 28,713.75 ",4.46,1,0,2,2015
Volkswagen," ₹ 29,800.00 ",4.47,1,0,2,2015
BMW," ₹ 63,000.00 ",4.80,1,0,2,2015
Volkswagen," ₹ 11,962.00 ",4.08,1,0,1.6,2015
Volkswagen," ₹ 29,040.00 ",4.46,1,0,1.4,2015
Toyota," ₹ 13,621.43 ",4.13,1,0,1.3,2015
Volkswagen," ₹ 69,990.00 ",4.85,1,0,5,2015
Mercedes-Benz," ₹ 1,69,000.00 ",5.23,1,0,4.7,2015
Volkswagen," ₹ 74,000.00 ",4.87,1,0,3,2015
Toyota," ₹ 33,715.50 ",4.53,1,0,2.7,2015
Volkswagen," ₹ 27,200.00 ",4.43,1,0,2,2015
Volkswagen," ₹ 69,990.00 ",4.85,1,0,2,2015
Mitsubishi," ₹ 23,900.00 ",4.38,1,0,1.8,2015
Volkswagen," ₹ 10,974.21 ",4.04,1,0,1.6,2015
Volkswagen," ₹ 20,477.54 ",4.31,1,0,1.6,2015
Renault," ₹ 24,193.65 ",4.38,1,0,1.6,2015
Mercedes-Benz," ₹ 45,000.00 ",4.65,1,0,1.6,2015
BMW," ₹ 33,500.00 ",4.53,1,0,1.5,2015
Volkswagen," ₹ 21,500.00 ",4.33,1,0,1.4,2015
Volkswagen," ₹ 40,000.00 ",4.60,1,0,1.4,2015
Renault," ₹ 10,396.23 ",4.02,1,0,1.2,2015
Volkswagen," ₹ 18,600.00 ",4.27,2,0.301029996,1.6,2015
Renault," ₹ 20,007.00 ",4.30,2,0.301029996,1.5,2015
Mercedes-Benz," ₹ 57,000.00 ",4.76,3,0.477121255,2.2,2015
Audi," ₹ 90,999.00 ",4.96,4,0.602059991,3,2015
BMW," ₹ 38,888.00 ",4.59,5,0.698970004,0.65,2015
BMW," ₹ 1,33,000.00 ",5.12,7,0.84509804,4.4,2015
Toyota," ₹ 30,500.00 ",4.48,7,0.84509804,2.5,2015
BMW," ₹ 52,000.00 ",4.72,7,0.84509804,2,2015
Mercedes-Benz," ₹ 1,60,000.00 ",5.20,8,0.903089987,4.6,2015
BMW," ₹ 85,555.00 ",4.93,10,1,3,2015
BMW," ₹ 85,555.00 ",4.93,10,1,3,2015
Audi," ₹ 43,000.00 ",4.63,11,1.041392685,1.8,2015
Mercedes-Benz," ₹ 1,26,000.00 ",5.10,14,1.146128036,3,2015
Mercedes-Benz," ₹ 75,500.00 ",4.88,14,1.146128036,2.2,2015
Toyota," ₹ 28,900.00 ",4.46,15,1.176091259,2.5,2015
Toyota," ₹ 30,900.00 ",4.49,15,1.176091259,2.5,2015
Mercedes-Benz," ₹ 1,04,000.00 ",5.02,16,1.204119983,5.5,2015
BMW," ₹ 72,900.00 ",4.86,16,1.204119983,3,2015
BMW," ₹ 75,000.00 ",4.88,16,1.204119983,3,2015
BMW," ₹ 1,12,000.00 ",5.05,16,1.204119983,3,2015
Toyota," ₹ 28,500.00 ",4.45,16,1.204119983,2.5,2015
BMW," ₹ 89,999.00 ",4.95,17,1.230448921,4.4,2015
Mercedes-Benz," ₹ 1,25,000.00 ",5.10,17,1.230448921,3,2015
Toyota," ₹ 26,250.00 ",4.42,17,1.230448921,2.5,2015
Mercedes-Benz," ₹ 1,25,000.00 ",5.10,18,1.255272505,3,2015
Mercedes-Benz," ₹ 1,25,000.00 ",5.10,18,1.255272505,3,2015
Audi," ₹ 39,000.00 ",4.59,18,1.255272505,1.8,2015
BMW," ₹ 85,900.00 ",4.93,19,1.278753601,3,2015
BMW," ₹ 71,500.00 ",4.85,19,1.278753601,2.5,2015
Audi," ₹ 69,999.00 ",4.85,21,1.322219295,3,2015
Toyota," ₹ 27,700.00 ",4.44,21,1.322219295,2.5,2015
Toyota," ₹ 32,000.00 ",4.51,22,1.342422681,2.5,2015
Toyota," ₹ 32,000.00 ",4.51,22,1.342422681,2.5,2015
Audi," ₹ 62,000.00 ",4.79,24,1.380211242,3,2015
Mercedes-Benz," ₹ 1,16,500.00 ",5.07,25,1.397940009,3,2015
Volkswagen," ₹ 20,900.00 ",4.32,25,1.397940009,2,2015
BMW," ₹ 45,500.00 ",4.66,26,1.414973348,2,2015
Toyota," ₹ 28,800.00 ",4.46,29,1.462397998,2.2,2015
Volkswagen," ₹ 51,900.00 ",4.72,30,1.477121255,3,2015
Volkswagen," ₹ 51,900.00 ",4.72,30,1.477121255,3,2015
Volkswagen," ₹ 51,900.00 ",4.72,30,1.477121255,3,2015
BMW," ₹ 63,500.00 ",4.80,33,1.51851394,3,2015
Volkswagen," ₹ 25,900.00 ",4.41,35,1.544068044,2,2015
Volkswagen," ₹ 55,500.00 ",4.74,36,1.556302501,3,2015
Toyota," ₹ 28,500.00 ",4.45,38,1.579783597,2.2,2015
Volkswagen," ₹ 28,500.00 ",4.45,38,1.579783597,2,2015
Mercedes-Benz," ₹ 1,15,555.00 ",5.06,39,1.591064607,3,2015
Mercedes-Benz," ₹ 40,500.00 ",4.61,39,1.591064607,2.2,2015
Mercedes-Benz," ₹ 38,200.00 ",4.58,39,1.591064607,1.6,2015
Audi," ₹ 85,555.00 ",4.93,40,1.602059991,3,2015
Toyota," ₹ 24,800.00 ",4.39,43,1.633468456,2.5,2015
Toyota," ₹ 45,500.00 ",4.66,45,1.653212514,3.5,2015
Mitsubishi," ₹ 23,800.00 ",4.38,45,1.653212514,2.5,2015
Toyota," ₹ 75,500.00 ",4.88,50,1.698970004,4.6,2015
Mercedes-Benz," ₹ 1,35,555.00 ",5.13,54,1.73239376,4.66,2015
Volkswagen," ₹ 10,000.00 ",4.00,56,1.748188027,1.8,2015
Toyota," ₹ 25,500.00 ",4.41,58,1.763427994,2.5,2015
Toyota," ₹ 25,800.00 ",4.41,58,1.763427994,2.5,2015
BMW," ₹ 58,000.00 ",4.76,64,1.806179974,2,2015
Toyota," ₹ 51,500.00 ",4.71,70,1.84509804,3,2015
Volkswagen," ₹ 30,385.00 ",4.48,1,0,2,2014
Volkswagen," ₹ 31,310.00 ",4.50,1,0,2,2014
Volkswagen," ₹ 38,764.00 ",4.59,1,0,2,2014
Volkswagen," ₹ 39,040.00 ",4.59,1,0,2,2014
BMW," ₹ 77,777.00 ",4.89,1,0,3,2014
Mercedes-Benz," ₹ 1,69,000.00 ",5.23,1,0,3,2014
Volkswagen," ₹ 31,500.00 ",4.50,1,0,2,2014
Volkswagen," ₹ 11,818.95 ",4.07,1,0,1.6,2014
Volkswagen," ₹ 10,493.00 ",4.02,1,0,1.4,2014
Toyota," ₹ 36,500.00 ",4.56,2,0.301029996,3,2014
Mercedes-Benz," ₹ 35,300.00 ",4.55,3,0.477121255,1.6,2014
BMW," ₹ 47,000.00 ",4.67,5,0.698970004,2,2014
BMW," ₹ 47,000.00 ",4.67,5,0.698970004,2,2014
BMW," ₹ 77,777.00 ",4.89,8,0.903089987,4.4,2014
BMW," ₹ 77,777.00 ",4.89,8,0.903089987,4.4,2014
Mercedes-Benz," ₹ 1,25,000.00 ",5.10,9,0.954242509,3,2014
Renault," ₹ 13,500.00 ",4.13,10,1,1.6,2014
Volkswagen," ₹ 12,650.00 ",4.10,11,1.041392685,1,2014
Toyota," ₹ 22,500.00 ",4.35,12,1.079181246,2.5,2014
Audi," ₹ 39,900.00 ",4.60,12,1.079181246,1.8,2014
Audi," ₹ 33,900.00 ",4.53,14,1.146128036,1.8,2014
Mercedes-Benz," ₹ 28,500.00 ",4.45,15,1.176091259,1.8,2014
Volkswagen," ₹ 17,200.00 ",4.24,15,1.176091259,1.2,2014
BMW," ₹ 70,000.00 ",4.85,16,1.204119983,3,2014
Mercedes-Benz," ₹ 1,44,900.00 ",5.16,16,1.204119983,3,2014
Renault," ₹ 8,250.00 ",3.92,16,1.204119983,1.2,2014
Volkswagen," ₹ 52,300.00 ",4.72,19,1.278753601,3,2014
Toyota," ₹ 38,500.00 ",4.59,20,1.301029996,5.7,2014
Audi," ₹ 68,000.00 ",4.83,20,1.301029996,3,2014
BMW," ₹ 75,000.00 ",4.88,20,1.301029996,3,2014
Volkswagen," ₹ 35,000.00 ",4.54,20,1.301029996,2,2014
Toyota," ₹ 16,900.00 ",4.23,20,1.301029996,1.6,2014
Renault," ₹ 15,000.00 ",4.18,21,1.322219295,1.5,2014
Mercedes-Benz," ₹ 1,21,500.00 ",5.08,22,1.342422681,3,2014
Mercedes-Benz," ₹ 26,000.00 ",4.41,22,1.342422681,1.8,2014
Volkswagen," ₹ 20,200.00 ",4.31,22,1.342422681,1.2,2014
Volkswagen," ₹ 21,000.00 ",4.32,22,1.342422681,1.2,2014
Toyota," ₹ 80,000.00 ",4.90,23,1.361727836,4.5,2014
BMW," ₹ 81,000.00 ",4.91,23,1.361727836,4.4,2014
Audi," ₹ 55,000.00 ",4.74,24,1.380211242,2.8,2014
Toyota," ₹ 14,000.00 ",4.15,25,1.397940009,2.5,2014
Volkswagen," ₹ 16,000.00 ",4.20,26,1.414973348,1.2,2014
Mercedes-Benz," ₹ 1,19,000.00 ",5.08,27,1.431363764,3,2014
Audi," ₹ 51,500.00 ",4.71,28,1.447158031,3,2014
Toyota," ₹ 19,900.00 ",4.30,28,1.447158031,1.6,2014
Toyota," ₹ 76,500.00 ",4.88,29,1.462397998,4.5,2014
Mitsubishi," ₹ 21,000.00 ",4.32,29,1.462397998,2,2014
Volkswagen," ₹ 9,500.00 ",3.98,29,1.462397998,1.4,2014
BMW," ₹ 75,555.00 ",4.88,30,1.477121255,4.4,2014
BMW," ₹ 75,555.00 ",4.88,30,1.477121255,4.4,2014
BMW," ₹ 75,555.00 ",4.88,30,1.477121255,4.4,2014
Mitsubishi," ₹ 5,500.00 ",3.74,30,1.477121255,2.5,2014
Toyota," ₹ 24,900.00 ",4.40,30,1.477121255,2.5,2014
Volkswagen," ₹ 30,900.00 ",4.49,30,1.477121255,2,2014
Toyota," ₹ 17,700.00 ",4.25,30,1.477121255,1.6,2014
Toyota," ₹ 18,300.00 ",4.26,30,1.477121255,1.6,2014
Mercedes-Benz," ₹ 39,500.00 ",4.60,30,1.477121255,1.6,2014
Audi," ₹ 31,700.00 ",4.50,32,1.505149978,1.8,2014
BMW," ₹ 35,500.00 ",4.55,33,1.51851394,2,2014
BMW," ₹ 36,500.00 ",4.56,33,1.51851394,2,2014
BMW," ₹ 42,000.00 ",4.62,33,1.51851394,2,2014
BMW," ₹ 46,800.00 ",4.67,33,1.51851394,2,2014
Audi," ₹ 33,500.00 ",4.53,35,1.544068044,1.8,2014
Toyota," ₹ 17,900.00 ",4.25,35,1.544068044,1.6,2014
Mercedes-Benz," ₹ 85,000.00 ",4.93,36,1.556302501,5.5,2014
Mercedes-Benz," ₹ 1,29,999.00 ",5.11,37,1.568201724,4.7,2014
Mercedes-Benz," ₹ 42,000.00 ",4.62,38,1.579783597,2.2,2014
Volkswagen," ₹ 16,950.00 ",4.23,38,1.579783597,2,2014
Toyota," ₹ 13,200.00 ",4.12,38,1.579783597,1.33,2014
Toyota," ₹ 30,600.00 ",4.49,39,1.591064607,2.2,2014
Renault," ₹ 10,200.00 ",4.01,39,1.591064607,1.5,2014
Toyota," ₹ 72,000.00 ",4.86,40,1.602059991,4.5,2014
Mercedes-Benz," ₹ 1,09,900.00 ",5.04,40,1.602059991,3,2014
Toyota," ₹ 23,300.00 ",4.37,40,1.602059991,2,2014
Mercedes-Benz," ₹ 28,950.00 ",4.46,40,1.602059991,1.8,2014
Mercedes-Benz," ₹ 72,700.00 ",4.86,42,1.62324929,2.2,2014
BMW," ₹ 45,500.00 ",4.66,42,1.62324929,2,2014
Mercedes-Benz," ₹ 38,000.00 ",4.58,42,1.62324929,1.6,2014
Toyota," ₹ 52,500.00 ",4.72,43,1.633468456,3,2014
Volkswagen," ₹ 13,500.00 ",4.13,43,1.633468456,2,2014
Toyota," ₹ 9,003.15 ",3.95,43,1.633468456,1.3,2014
Audi," ₹ 51,000.00 ",4.71,44,1.643452676,3,2014
Audi," ₹ 56,000.00 ",4.75,44,1.643452676,3,2014
Toyota," ₹ 47,500.00 ",4.68,45,1.653212514,3,2014
Toyota," ₹ 47,500.00 ",4.68,45,1.653212514,3,2014
BMW," ₹ 56,500.00 ",4.75,45,1.653212514,3,2014
Audi," ₹ 39,999.00 ",4.60,45,1.653212514,2,2014
Audi," ₹ 39,999.00 ",4.60,45,1.653212514,2,2014
Audi," ₹ 39,999.00 ",4.60,45,1.653212514,2,2014
Toyota," ₹ 18,950.00 ",4.28,45,1.653212514,1.8,2014
Toyota," ₹ 17,500.00 ",4.24,45,1.653212514,1.6,2014
BMW," ₹ 57,000.00 ",4.76,47,1.672097858,3,2014
Mercedes-Benz," ₹ 1,15,000.00 ",5.06,49,1.69019608,4.7,2014
Volkswagen," ₹ 32,400.00 ",4.51,50,1.698970004,2,2014
